x cos(x)  sin(x)
0,000   1,000   0,000
0,100   0,995   0,100
0,200   0,980   0,199
0,300   0,955   0,296
0,400   0,921   0,389
0,500   0,878   0,479
0,600   0,825   0,565
0,700   0,765   0,644
0,800   0,697   0,717
0,900   0,622   0,783
1,000   0,540   0,841
1,100   0,454   0,891
1,200   0,362   0,932
1,300   0,267   0,964
1,400   0,170   0,985
1,500   0,071   0,997
1,600   -0,029  1,000
1,700   -0,129  0,992
1,800   -0,227  0,974
1,900   -0,323  0,946
2,000   -0,416  0,909
2,100   -0,505  0,863
2,200   -0,589  0,808
2,300   -0,666  0,746
2,400   -0,737  0,675
2,500   -0,801  0,598
2,600   -0,857  0,516
2,700   -0,904  0,427
2,800   -0,942  0,335
2,900   -0,971  0,239
3,000   -0,990  0,141
3,100   -0,999  0,042
3,200   -0,998  -0,058
3,300   -0,987  -0,158
3,400   -0,967  -0,256
3,500   -0,936  -0,351
3,600   -0,897  -0,443
3,700   -0,848  -0,530
3,800   -0,791  -0,612
3,900   -0,726  -0,688
4,000   -0,654  -0,757
4,100   -0,575  -0,818
4,200   -0,490  -0,872
4,300   -0,401  -0,916
4,400   -0,307  -0,952
4,500   -0,211  -0,978
4,600   -0,112  -0,994
4,700   -0,012  -1,000
4,800   0,087   -0,996
4,900   0,187   -0,982
5,000   0,284   -0,959
5,100   0,378   -0,926
5,200   0,469   -0,883
5,300   0,554   -0,832
5,400   0,635   -0,773
5,500   0,709   -0,706
5,600   0,776   -0,631
5,700   0,835   -0,551
5,800   0,886   -0,465
5,900   0,927   -0,374
6,000   0,960   -0,279
6,100   0,983   -0,182
6,200   0,997   -0,083
6,300   1,000   0,017
6,400   0,993   0,117
6,500   0,977   0,215
6,600   0,950   0,312
6,700   0,914   0,405
6,800   0,869   0,494
6,900   0,816   0,578
7,000   0,754   0,657
7,100   0,685   0,729
7,200   0,608   0,794
7,300   0,526   0,850
7,400   0,439   0,899
7,500   0,347   0,938
7,600   0,251   0,968
7,700   0,153   0,988
7,800   0,054   0,999
7,900   -0,046  0,999
8,000   -0,146  0,989
8,100   -0,244  0,970
8,200   -0,339  0,941
8,300   -0,431  0,902
8,400   -0,519  0,855
8,500   -0,602  0,798
8,600   -0,679  0,734
8,700   -0,749  0,663
8,800   -0,811  0,585
8,900   -0,865  0,501
9,000   -0,911  0,412
9,100   -0,948  0,319
9,200   -0,975  0,223
9,300   -0,992  0,124
9,400   -1,000  0,025
9,500   -0,997  -0,075
9,600   -0,985  -0,174
9,700   -0,962  -0,272
9,800   -0,930  -0,366
9,900   -0,889  -0,458
